key,zh_Hans,zh_Hant,ja,en
text.last_light_m5.last_light_line_letter_008,周砚俯身凑过来，在纸角添上一行字。林晚伸手替他压住被风掀起的纸边，他便退到她身后，让出光线。三种不同的笔迹挤在一起，有一笔写歪了，还有一处没擦干的水印，不够整齐，却很像我们。,周硯俯身湊過來，在紙角添上一行字。林晚伸手替他壓住被風掀起的紙邊，他便退到她身後，讓出光線。三種不同的筆跡擠在一起，有一筆寫歪了，還有一處沒擦乾的水印，不夠整齊，卻很像我們。,"周硯が身をかがめて近づき、紙の端に一行書き足した。林晚が手を伸ばして、風でめくれる紙の縁を押さえる。彼は彼女の後ろへ下がり、光を譲った。三種類の筆跡が寄り集まり、一本は傾き、乾ききっていない染みもある。整ってはいないけれど、僕たちらしかった。","Zhou Yan leaned in and added a line at the corner of the page. Lin Wan reached over to hold down the edge the wind was lifting, and he stepped back behind her to give up the light. Three different handwritings crowded together — one stroke slanted, one watermark not quite dry. Not tidy, but very much like us."
text.last_light_m5.last_light_line_letter_009,（我突然不想重新抄一遍。那些不整齐的地方，正好说明写信的时候，风在吹，人也都真的在这里。）,（我突然不想重新抄一遍。那些不整齊的地方，正好說明寫信的時候，風在吹，人也都真的在這裡。）,（急に、書き直したくなくなった。あの整っていない部分こそ、手紙を書いていたとき風が吹いていて、みんなが本当にここにいた証拠だ。）,"(Suddenly I didn't want to copy it out again. Those uneven places are exactly what shows that the wind was blowing while we wrote, and that all of us were really here.)"
text.last_light_m5.last_light_line_letter_010,我原来以为，今晚不听就是退缩。现在发现，把“以后”写成下周六，也需要一点勇气。,我原來以為，今晚不聽就是退縮。現在發現，把「以後」寫成下週六，也需要一點勇氣。,今夜聞かないのは、逃げることだと思っていた。でも今はわかる。「いつか」を来週の土曜日と書き換えるのにも、少しの勇気がいる。,"I used to think not listening tonight would be backing down. Now I see that turning “someday” into next Saturday takes a bit of courage too."
text.last_light_m5.last_light_line_letter_011,还需要记得按时去。答应之前想清楚，答应以后留出时间，比说一句好听的话麻烦得多。,還需要記得按時去。答應之前想清楚，答應以後留出時間，比說一句好聽的話麻煩得多。,"それに、ちゃんとその日に行くことも忘れちゃいけない。約束する前に考え抜いて、約束したら時間を空けておく。きれいな一言を言うより、ずっと面倒なことだ。","And you have to remember to actually show up. Thinking it through before you agree, then making time after you agree, is far more trouble than saying something nice."
text.last_light_m5.last_light_line_letter_012,你们把信拍成照片，发给许老师。纸质原件仍装回信封，准备下次亲手交给她。录音安静地留在盒子里，不再像一件必须立刻解决的事。,你們把信拍成照片，傳給許老師。紙本原件仍裝回信封，準備下次親手交給她。錄音安靜地留在盒子裡，不再像一件必須立刻解決的事。,"君たちは手紙を写真に撮り、許先生へ送った。紙の原本は封筒に戻し、次に会ったとき直接手渡すつもりだ。録音は静かに箱の中に残る。もう、すぐに片づけなければならない用件には見えない。","You photographed the letter and sent it to Ms. Xu. The paper original went back into the envelope, ready to be handed to her in person next time. The recording stayed quietly in its box, no longer looking like something that had to be settled at once."
text.last_light_m5.last_light_line_letter_013,老师回复了：“下周三可以。我带茶吧，你们别带太多东西。”周砚低头看完，轻轻点了点头。那句话把我们等了很久的事，放回一个可以慢慢商量的位置。,老師回覆了：「下週三可以。我帶茶吧，你們別帶太多東西。」周硯低頭看完，輕輕點了點頭。那句話把我們等了很久的事，放回一個可以慢慢商量的位置。,"先生から返事が来た。「来週の水曜なら大丈夫です。お茶は私が持っていきますから、あまりたくさん持ってこないでください」周硯はうつむいて読み終え、小さくうなずいた。その一言は、長く待っていたことを、ゆっくり相談できる場所へ戻してくれた。","She replied: “Wednesday works. I'll bring the tea — don't carry too much with you.” Zhou Yan read it with his head lowered and gave a small nod. That one line put the thing we'd waited so long for back somewhere it could be discussed slowly."
text.last_light_m5.last_light_line_letter_014,（我也给朋友发去消息：那幅画还在，你下周有空吗？这一次，我没有用一个含糊的“有机会”，把话推到谁也找不到的地方。）,（我也給朋友傳去訊息：那幅畫還在，你下週有空嗎？這一次，我沒有用一個含糊的「有機會」，把話推到誰也找不到的地方。）,（僕も友達にメッセージを送った。あの絵はまだある。来週、時間ある？今度は、曖昧な「そのうち」で、誰にも届かない場所まで話を先送りしたりはしなかった。）,"(I sent a message to my friend too: the painting is still here — are you free next week? This time I didn't shove the words somewhere no one could find them with a vague “if there's a chance.”)"
text.last_light_m5.last_light_line_letter_015,你的信也发出去了？那今晚的邮局可以下班了。剩下的事，我们各自记在日历上。,你的信也寄出去了？那今晚的郵局可以下班了。剩下的事，我們各自記在行事曆上。,君の手紙も送ったのか？なら今夜の郵便局は閉店だな。あとは各自、カレンダーに書き込んでおこう。,"Your letter is out too? Then tonight's post office can close up. The rest, we'll each write down on our calendars."
text.last_light_m5.last_light_line_letter_016,你在手机里记下时间。小小的方格容不下所有复杂心情，却容得下一个地点、一个日期和一句“别忘了带画”。,你在手機裡記下時間。小小的方格容不下所有複雜心情，卻容得下一個地點、一個日期和一句「別忘了帶畫」。,"君はスマホに日時を書き込む。小さな升目に、複雑な気持ちのすべては収まらない。それでも、場所と日付と、「絵を忘れずに」の一言なら収まる。","You note the time in your phone. The little grid can't hold every complicated feeling, but it can hold a place, a date, and one line: “don't forget the painting.”"
text.last_light_m5.last_light_line_letter_017,我知道明天可能还会犹豫。但至少到时候，我可以回来看看今晚写下的字，提醒自己这不是一时随口说说。,我知道明天可能還會猶豫。但至少到時候，我可以回來看看今晚寫下的字，提醒自己這不是一時隨口說說。,"明日になったら、また迷うかもしれない。それでもそのときは、今夜書いた文字を見に戻れる。これは思いつきで口にしたことじゃない、と自分に言える。","I know I might hesitate again tomorrow. But at least then I can come back and look at what I wrote tonight, and remind myself this wasn't just something I said in passing."
text.last_light_m5.last_light_line_letter_018,犹豫的时候可以再商量。做了选择，也不代表从此只能一个人撑着。,猶豫的時候可以再商量。做了選擇，也不代表從此只能一個人撐著。,迷ったときは、また相談すればいい。一度選んだからといって、これから先ずっと一人で抱えていかなければならないわけじゃない。,"When you hesitate, we can talk it over again. Making a choice doesn't mean you have to carry it alone from then on."
text.last_light_m5.last_light_line_letter_019,没有响起的录音没有消失。它和折好的信一起，被你们妥善放进盒子。你忽然懂得，暂时停下和悄悄放弃，原来可以有完全不同的样子。,沒有響起的錄音沒有消失。它和折好的信一起，被你們妥善放進盒子。你忽然懂得，暫時停下和悄悄放棄，原來可以有完全不同的樣子。,"鳴らなかった録音は、消えてしまったわけじゃない。折りたたんだ手紙と一緒に、君たちの手で丁寧に箱へ収められた。一時的に止まることと、こっそり諦めることは、まったく違う形をしていいのだと、君はふと理解する。","The recording that never played didn't disappear. It went into the box, carefully, together with the folded letter. And you suddenly understand that pausing for now and quietly giving up can look completely different."
text.last_light_m5.last_light_line_letter_020,林晚将盒子抱紧，周砚记下下次见面的时间。你们没有补上过去的全部空白，只给明天留下了一件能够真正去做的小事。,林晚將盒子抱緊，周硯記下下次見面的時間。你們沒有補上過去的全部空白，只給明天留下了一件能夠真正去做的小事。,"林晚は箱を抱きしめ、周硯は次に会う時間を書き留めた。過去の空白を全部埋めたわけじゃない。ただ明日に、本当に実行できる小さなことを一つ残しただけだ。","Lin Wan hugged the box tight; Zhou Yan wrote down when they'd meet next. You didn't fill in every blank from the past — you only left tomorrow one small thing that could actually be done."
text.last_light_m5.last_light_line_radio_001,那就现在听吧。不是把这一年追回来，只是让我们终于知道，停电之后，她原本还想说什么。,那就現在聽吧。不是把這一年追回來，只是讓我們終於知道，停電之後，她原本還想說什麼。,"じゃあ、今聞こう。この一年を取り戻すためじゃない。停電のあと、彼女が本当は何を言いたかったのかを、ようやく知るためだ。","Then let's listen now. Not to win back this past year, but so we finally learn what she had meant to say after the blackout."
text.last_light_m5.last_light_line_radio_002,周砚按下播放键。短促的提示音过后，先响起一段空白。你几乎以为录音损坏了，随后才听见很轻的呼吸和翻动纸张的声音。,周硯按下播放鍵。短促的提示音過後，先響起一段空白。你幾乎以為錄音壞了，隨後才聽見很輕的呼吸和翻動紙張的聲音。,"周硯が再生ボタンを押す。短い電子音のあと、まず流れてきたのは空白だった。録音が壊れているのかと思うほどで、そのあとにようやく、ごく小さな呼吸と紙をめくる音が聞こえてくる。","Zhou Yan pressed play. After a short beep, the first thing that came out was silence. You almost thought the tape was damaged — then came a very soft breath, and the sound of paper being turned."
text.last_light_m5.last_light_line_radio_003,开头留了几秒空白。我以前总想把它剪掉，现在却觉得，这几秒让人知道，她也是想了很久才开口。,開頭留了幾秒空白。我以前總想把它剪掉，現在卻覺得，這幾秒讓人知道，她也是想了很久才開口。,最初に数秒の空白が残っている。昔はいつも切りたくなっていた。でも今は、この数秒があるからこそ、彼女も長いこと迷ってから口を開いたのだとわかる気がする。,"There are a few seconds of silence at the start. I always used to want to cut them out; now I think those seconds show that she, too, thought for a long time before she spoke."
text.last_light_m5.last_light_line_radio_004,（原来只有一句话要说的时候，也可以先沉默。录音没有因为这段空白失去意义，我那些笨拙的开头，也不必全部擦掉。）,（原來只有一句話要說的時候，也可以先沉默。錄音沒有因為這段空白失去意義，我那些笨拙的開頭，也不必全部擦掉。）,（言いたいことが一言だけのときも、先に黙っていていいんだ。空白のせいで録音の意味が失われるわけじゃない。僕のぎこちない書き出しも、全部消さなくていい。）,"(So even when you only have one sentence to say, you're allowed to be silent first. The silence doesn't cost the recording its meaning, and I don't have to erase every clumsy beginning of mine.)"
text.last_light_m5.last_light_line_radio_005,录音里的老师没有发表长篇告别。她感谢值班同学关好门窗，提醒大家带走雨伞，又说如果明天还下雨，节目可以晚一点再播。,錄音裡的老師沒有發表長篇告別。她感謝值班同學關好門窗，提醒大家帶走雨傘，又說如果明天還下雨，節目可以晚一點再播。,録音の中の先生は、長い別れの挨拶などしなかった。当番の生徒に窓や扉を閉めてくれてありがとうと言い、傘を忘れずに持って帰るようにと伝え、明日も雨なら番組は少し遅らせてもいいと付け加えた。,"The teacher on the recording didn't make a long farewell speech. She thanked the student on duty for closing the windows and doors, reminded everyone to take their umbrellas, and added that if it rained again tomorrow, the show could start a little later."
text.last_light_m5.last_light_line_radio_006,我记得她那天一直在笑。我以为她一点也不紧张，原来稿纸翻了那么多次。那时候我们站得很近，却没有认真听过。,我記得她那天一直在笑。我以為她一點也不緊張，原來稿紙翻了那麼多次。那時候我們站得很近，卻沒有認真聽過。,"あの日、彼女はずっと笑っていた。少しも緊張していないのだと思っていた。実際には、台本を何度もめくっていたのだ。あのとき僕たちはすぐ近くに立っていたのに、ちゃんと聞いてはいなかった。","I remember she was smiling the whole time that day. I thought she wasn't nervous at all — turns out she turned those script pages again and again. We were standing so close then, and yet we never really listened."
text.last_light_m5.last_light_line_radio_007,在现场的人也会错过很多东西。现在听见，并不意味着那时的我们做错了什么。那天大家都在忙着接住眼前的雨。,在現場的人也會錯過很多東西。現在聽見，並不意味著那時的我們做錯了什麼。那天大家都在忙著接住眼前的雨。,その場にいた人間だって、たくさんのものを聞き逃す。今になって聞こえたからといって、あの頃の僕たちが何かを間違えたわけじゃない。あの日はみんな、目の前の雨を受け止めるのに必死だった。,"Even the people who were there miss a great deal. Hearing it now doesn't mean we did something wrong back then. That day, everyone was busy catching the rain in front of them."
text.last_light_m5.last_light_line_radio_008,你想到自己曾经等过一个很长的解释，后来连等的是什么都模糊了。可这段录音没有解释所有事情，只把一个普通下午，完整地交还给你们。,你想到自己曾經等過一個很長的解釋，後來連等的是什麼都模糊了。可這段錄音沒有解釋所有事情，只把一個普通下午，完整地交還給你們。,"君は思い出す。ずっと長い説明を待っていたことがあった。そのうち、何を待っていたのかさえ曖昧になっていった。この録音はすべてを説明してはくれない。ただ、ありふれた午後を一つ、そのまま君たちに返してくれた。","You remember waiting a long time for an explanation, until even what you were waiting for grew blurry. This recording doesn't explain everything — it just hands one ordinary afternoon back to you, whole."
text.last_light_m5.last_light_line_radio_009,她说，没能完成的节目不必补成完美版本。愿意再来的人，下次见；已经往前走的人，也不用为没回头道歉。,她說，沒能完成的節目不必補成完美版本。願意再來的人，下次見；已經往前走的人，也不用為沒回頭道歉。,彼女は言う。完成できなかった番組を、完璧な形に作り直す必要はない。また来たいと思う人は、次の機会に。もう先へ進んだ人は、振り返らなかったことを謝らなくていい。,"She says the show that never finished doesn't have to be remade into a perfect version. Those who want to come again, see you next time; and those who have already moved on don't need to apologize for not looking back."
text.last_light_m5.last_light_line_radio_010,（我一直以为，有回应才算走完一段路。原来有人愿意说“你可以继续走”，也已经是一种回应。）,（我一直以為，有回應才算走完一段路。原來有人願意說「你可以繼續走」，也已經是一種回應。）,（返事があってこそ、一区切りつくのだと思っていた。誰かが「そのまま進んでいい」と言ってくれること自体が、もう返事なのだと知る。）,"(I always thought a stretch of road was only finished once there was a reply. So someone being willing to say “you can keep going” is already a reply.)"
text.last_light_m5.last_light_line_radio_011,最后还有一句。别急着关，听完再说。,最後還有一句。別急著關，聽完再說。,最後にもう一言ある。急いで止めるな、最後まで聞いてからにしよう。,"There's one more line at the end. Don't turn it off yet — listen to the whole thing first."
text.last_light_m5.last_light_line_radio_012,你们屏住呼吸。远处车辆驶过，风把杂音吹得很薄。录音在一句轻轻的“晚安”之后停下，机器仍然亮着，像是在等一个不必说出口的回答。,你們屏住呼吸。遠處車輛駛過，風把雜音吹得很薄。錄音在一句輕輕的「晚安」之後停下，機器仍然亮著，像是在等一個不必說出口的回答。,"君たちは息を止める。遠くを車が通り過ぎ、風が雑音を薄く吹き流していく。録音は、そっとした「おやすみ」の一言のあとで止まった。機械の灯りはまだついたままで、口に出さなくてもいい返事を待っているようだった。","You hold your breath. A car passes in the distance, and the wind thins the static away. The recording stops after one quiet “goodnight”; the machine is still lit, as if waiting for an answer that doesn't need to be spoken."
text.last_light_m5.last_light_line_radio_013,晚安，许老师。迟了一年，也还是想说给你听。,晚安，許老師。遲了一年，也還是想說給妳聽。,おやすみなさい、許先生。一年遅れでも、やっぱりあなたに伝えたい。,"Goodnight, Ms. Xu. A year late, and I still want you to hear it."
text.last_light_m5.last_light_line_radio_014,我把今天的日期写在标签背面吧。不覆盖原来的日期，这两天都值得留下。,我把今天的日期寫在標籤背面吧。不覆蓋原來的日期，這兩天都值得留下。,今日の日付を、ラベルの裏に書いておくよ。元の日付は消さない。どちらの日も、残しておく価値がある。,"I'll write today's date on the back of the label. I won't cover the old one — both days are worth keeping."
text.last_light_m5.last_light_line_radio_015,林晚拿出笔，在旧标签旁边补上一行小字。没有人撕掉发黄的部分，也没有人把中间的空白涂满。过去和今晚，终于可以放在同一个盒子里。,林晚拿出筆，在舊標籤旁邊補上一行小字。沒有人撕掉發黃的部分，也沒有人把中間的空白塗滿。過去和今晚，終於可以放在同一個盒子裡。,"林晚がペンを取り出し、古いラベルの横に小さく一行書き足す。黄ばんだ部分を破り取る者もいなければ、間の空白を塗りつぶす者もいない。過去と今夜は、ようやく同じ箱に収まることができる。","Lin Wan took out a pen and added a small line beside the old label. No one tore off the yellowed part, and no one filled in the blank in between. The past and tonight could finally go into the same box."
text.last_light_m5.last_light_line_radio_016,（我把那幅旧画拍下来。这一次，我没有调整到看不出笔触，也没有解释为什么画得不好。我只问：你现在方便看一张以前的画吗？）,（我把那幅舊畫拍下來。這一次，我沒有調整到看不出筆觸，也沒有解釋為什麼畫得不好。我只問：你現在方便看一張以前的畫嗎？）,（僕はあの古い絵を写真に撮った。今度は、筆の跡が見えなくなるまで調整したり、下手な理由を説明したりはしなかった。ただ、こう聞いた。今、昔の絵を一枚見てもらってもいい？）,"(I photographed that old painting. This time I didn't adjust it until the brushstrokes vanished, and I didn't explain why it wasn't painted well. I only asked: would you mind looking at a painting from a while ago?)"
text.last_light_m5.last_light_line_radio_017,发出去了？不用给我们看。看你的表情，我就知道有一件事已经走到了下一步。,寄出去了？不用給我們看。看你的表情，我就知道有一件事已經走到了下一步。,送った？見せなくていい。その顔を見れば、何かが次の一歩に進んだってわかる。,It's sent? You don't have to show us. One look at your face and I know something has moved on to its next step.
text.last_light_m5.last_light_line_radio_018,接下来就轮到等待了。不过这一次，等待的前面有一个你自己按下的发送键。,接下來就輪到等待了。不過這一次，等待的前面有一個你自己按下的傳送鍵。,"あとは待つ番だ。ただし今回は、その待つ時間の手前に、君自身が押した送信ボタンがある。","Now it's waiting's turn. Only this time, the waiting is preceded by a send button you pressed yourself."
text.last_light_m5.last_light_line_radio_019,手机暂时没有回应。你把它放进口袋，听见录音机停止转动。今晚没有突然变得圆满，但那句被截断的晚安，确实已经有人听见。,手機暫時沒有回應。你把它放進口袋，聽見錄音機停止轉動。今晚沒有突然變得圓滿，但那句被截斷的晚安，確實已經有人聽見。,"スマホはすぐには応えない。君はそれをポケットにしまい、テープレコーダーが止まる音を聞く。今夜が急に完璧になったわけじゃない。それでも、途切れていた「おやすみ」を、確かに誰かが聞いた。","The phone doesn't answer right away. You put it in your pocket and hear the recorder stop turning. Tonight didn't suddenly become whole, but that goodnight, cut off so long ago, has truly been heard by someone."
text.last_light_m5.last_light_line_radio_020,你们收好录音机，约定以后再听时，不必每次都把今晚讲得郑重。它也可以只是一个下雨后、恰好有人愿意留下的傍晚。,你們收好錄音機，約定以後再聽時，不必每次都把今晚講得鄭重。它也可以只是一個下雨後、恰好有人願意留下的傍晚。,"君たちはテープレコーダーを片づけ、次に聞くときは、毎回今夜のことを厳かに語り直さなくていいと決めた。それは、雨が上がったあと、たまたま誰かが残ろうと思った、ただの夕暮れでもいい。","You put the recorder away and agreed that next time you listen, you won't have to retell tonight so solemnly every time. It can also just be an evening after the rain, when someone happened to be willing to stay."
option.last_light_m5.last_light_choose_radio,现在播放录音，一起听完那句晚安,現在播放錄音，一起聽完那句晚安,今すぐ録音を再生して、あの「おやすみ」を最後まで一緒に聞く,"Play the recording now, and listen to that goodnight together"
option.last_light_m5.last_light_choose_letter,先写一封回信，约定下次当面听,先寫一封回信，約定下次當面聽,先に返事を書いて、次に直接会って聞く約束をする,"Write a reply first, and agree to listen in person next time"
option.last_light_m5.last_light_heard_route,有人听见,有人聽見,誰かが聞いた,Someone heard it
prompt.last_light_m5.last_light_choice,今晚，你想先迈出哪一步？,今晚，你想先邁出哪一步？,今夜、まずどの一歩を踏み出したい？,Which step would you like to take first tonight?
chapter.last_light_m5.last_light_ch01,最后一盏灯,最後一盞燈,最後の一灯,The Last Lamp
story.last_light_m5,最后一盏灯 · 完整示例,最後一盞燈 · 完整範例,最後の一灯・完全版サンプル,The Last Lamp · Full Sample
